------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
       318.467328638,      -0.188961394585
       320.351750701,      -0.188961394585
       322.236172764,      -0.188961394585
       324.120594827,      -0.188961394585
        326.00501689,      -0.188961394585
       327.889438953,      -0.188961394585
       329.773861016,      -0.188961394585
       331.658283079,      -0.188961394585
       333.542705142,      -0.188961394585
       335.427127205,      -0.188961394585
       337.311549268,      -0.188961394585
       339.195971331,      -0.188961394585
       341.080393394,      -0.188961394585
       342.964815457,      -0.188961394585
        344.84923752,      -0.188961394585
       346.733659582,      -0.188961394585
       348.618081645,      -0.188961394585
       350.502503708,      -0.188961394585
       352.386925771,      -0.188961394585
       354.271347834,      -0.188961394585
       356.155769897,      -0.188961394585
        358.04019196,      -0.188961394585
       359.924614023,      -0.188961394585
       361.809036086,      -0.188961394585
       363.693458149,      -0.188961394585
