------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       318.467328638,      -0.299292697167
       320.351750701,      -0.299292697167
       322.236172764,      -0.299292697167
       324.120594827,      -0.299292697167
        326.00501689,      -0.299292697167
       327.889438953,      -0.299292697167
       329.773861016,      -0.299292697167
       331.658283079,      -0.299292697167
       333.542705142,      -0.299292697167
       335.427127205,      -0.299292697167
       337.311549268,      -0.299292697167
       339.195971331,      -0.299292697167
       341.080393394,      -0.299292697167
       342.964815457,      -0.299292697167
        344.84923752,      -0.299292697167
       346.733659582,      -0.299292697167
       348.618081645,      -0.299292697167
       350.502503708,      -0.299292697167
       352.386925771,      -0.299292697167
       354.271347834,      -0.299292697167
       356.155769897,      -0.299292697167
        358.04019196,      -0.299292697167
       359.924614023,      -0.299292697167
       361.809036086,      -0.299292697167
       363.693458149,      -0.299292697167
