------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       318.467328638,      -0.122785827757
       320.351750701,      -0.122785827757
       322.236172764,      -0.122785827757
       324.120594827,      -0.122785827757
        326.00501689,      -0.122785827757
       327.889438953,      -0.122785827757
       329.773861016,      -0.122785827757
       331.658283079,      -0.122785827757
       333.542705142,      -0.122785827757
       335.427127205,      -0.122785827757
       337.311549268,      -0.122785827757
       339.195971331,      -0.122785827757
       341.080393394,      -0.122785827757
       342.964815457,      -0.122785827757
        344.84923752,      -0.122785827757
       346.733659582,      -0.122785827757
       348.618081645,      -0.122785827757
       350.502503708,      -0.122785827757
       352.386925771,      -0.122785827757
       354.271347834,      -0.122785827757
       356.155769897,      -0.122785827757
        358.04019196,      -0.122785827757
       359.924614023,      -0.122785827757
       361.809036086,      -0.122785827757
       363.693458149,      -0.122785827757
