------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Total Current (A)
       316.582906575,        0.079955841438704
       318.467328638,        0.079955841438704
       320.351750701,        0.079955841438704
       322.236172764,        0.079955841438704
       324.120594827,        0.079955841438704
        326.00501689,        0.079955841438704
       327.889438953,        0.079955841438704
       329.773861016,        0.079955841438704
       331.658283079,        0.079955841438704
       333.542705142,        0.079955841438704
       335.427127205,        0.079955841438704
       337.311549268,        0.079955841438704
       339.195971331,        0.079955841438704
       341.080393394,        0.079955841438704
       342.964815457,        0.079955841438704
        344.84923752,        0.079955841438704
       346.733659582,        0.079955841438704
       348.618081645,        0.079955841438704
       350.502503708,        0.079955841438704
       352.386925771,        0.079955841438704
       354.271347834,        0.079955841438704
       356.155769897,        0.079955841438704
        358.04019196,        0.079955841438704
       359.924614023,        0.079955841438704
       361.809036086,        0.079955841438704
