------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
       337.311549268,       0.916812162193
       339.195971331,       0.920832262696
       341.080393394,       0.924852363198
       342.964815457,       0.928872463701
        344.84923752,       0.932892564203
       346.733659582,       0.936912664706
       348.618081645,       0.940932765208
       350.502503708,       0.944952865711
       352.386925771,       0.948972966213
       354.271347834,       0.952993066716
       356.155769897,       0.957013167218
        358.04019196,       0.961033267721
       359.924614023,       0.965053368223
       361.809036086,       0.969073468726
       363.693458149,       0.973093569228
       365.577880212,       0.977113669731
       367.462302275,       0.981133770233
       369.346724338,       0.985153870736
       371.231146401,       0.989173971238
       373.115568464,       0.993194071741
       374.999990527,       0.997214172243

