------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       273.241199127,      -0.705700400621
        275.12562119,      -0.709720501123
       277.010043253,      -0.713740601626
       278.894465316,      -0.717760702128
       280.778887379,      -0.721780802631
       282.663309442,      -0.725800903134
       284.547731505,      -0.729821003636
       286.432153568,      -0.733841104139
       288.316575631,      -0.737861204641
       290.200997694,      -0.741881305144
       292.085419757,      -0.745901405646
        293.96984182,      -0.749921506149
       295.854263883,      -0.753941606651
       297.738685946,      -0.757961707154
       299.623108009,      -0.761981807656
       301.507530072,      -0.766001908159
       303.391952135,      -0.770022008661
       305.276374198,      -0.774042109164
       307.160796261,      -0.778062209666
       309.045218324,      -0.782082310169
       310.929640386,      -0.786102410671
       312.814062449,      -0.790122511174
       314.698484512,      -0.794142611676
       316.582906575,      -0.798162712179
       318.467328638,      -0.802182812681
       320.351750701,      -0.806202913184
       322.236172764,      -0.810223013686
       324.120594827,      -0.814243114189
        326.00501689,      -0.818263214691
       327.889438953,      -0.822283315194
       329.773861016,      -0.826303415696
       331.658283079,      -0.830323516199
       333.542705142,      -0.834343616701
       335.427127205,      -0.838363717204
       337.311549268,      -0.842383817706
       339.195971331,      -0.846403918209
       341.080393394,      -0.850424018711
       342.964815457,      -0.854444119214
        344.84923752,      -0.858464219716
       346.733659582,      -0.862484320219
       348.618081645,      -0.866504420721
       350.502503708,      -0.870524521224
       352.386925771,      -0.874544621726
       354.271347834,      -0.878564722229
       356.155769897,      -0.882584822731
        358.04019196,      -0.886604923234
       359.924614023,      -0.890625023737
       361.809036086,      -0.894645124239
       363.693458149,      -0.898665224742
       365.577880212,      -0.902685325244
       367.462302275,      -0.906705425747
       369.346724338,      -0.910725526249
       371.231146401,      -0.914745626752
       373.115568464,      -0.918765727254
       374.999990527,      -0.922785827757

