------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electron Current (A)
       354.271347834,     1.4041829684e-12
       356.155769897,     1.4041829684e-12
        358.04019196,     1.4041829684e-12
       359.924614023,     1.4041829684e-12
       361.809036086,     1.4041829684e-12
       363.693458149,     1.4041829684e-12
       365.577880212,     1.4041829684e-12
       367.462302275,     1.4041829684e-12
       369.346724338,     1.4041829684e-12
       371.231146401,     1.4041829684e-12
       373.115568464,     1.4041829684e-12
       374.999990527,     1.4041829684e-12

